bank_id;card_id;transaction_date;amount;designation;founding_date;name;card_type;branch_id;branch_location
318;276;2028-12-03;3244,68;Nova Caixa;2024-07-05;Infinite Visa;premium credit;;Aveiro - Forum
365;604;2025-04-28;1962,92;Banco Horizonte;2024-07-30;Corporate Mastercard;business credit;;Coimbra - Baixa
80;528;2023-10-26;243,04;Lusitania Bank;2023-10-11;Golden Visa;credit;;Porto - Boavista
318;720;2025-08-08;37,51;Nova Caixa;2024-07-05;Everyday Debit;debit;;Faro - Centro
26;584;2024-08-19;81,69;Lusitania Bank;2023-09-21;Everyday Debit;debit;;Braga - Centro
119;418;2027-06-05;1600,0;Banco Horizonte;2023-02-27;Travel Rewards Visa;credit;;Braga - Centro
498;141;2030-04-28;108,16;Nova Caixa;2024-05-24;Debit Plus;debit;;Aveiro - Forum
45;687;2025-11-01;87,88;Credito Nacional;2024-03-08;Business Debit;debit;;Setubal - Avenida Luisa Todi
400;899;2033-06-01;178,89;FinPrime Bank;2025-11-19;Green Debit Card;debit;;Viseu - Rossio
186;700;2025-12-22;2955,53;Nova Caixa;2025-03-04;Platinum Visa;premium credit;96,0;Faro - Centro
118;349;2030-05-21;5965,36;FinPrime Bank;2025-01-07;Corporate Mastercard;business credit;;Faro - Centro
36;552;2031-12-17;5813,11;Nova Caixa;2024-10-25;Business Gold Mastercard;business credit;64,0;Aveiro - Forum
166;278;2025-10-05;79,07;FinPrime Bank;2023-01-25;Everyday Debit;debit;44,0;Aveiro - Forum
122;767;2026-09-06;721,41;Lusitania Bank;2024-10-17;Classic Visa;credit;83,0;Braga - Centro
84;534;2026-01-22;60,98;Nova Caixa;2023-08-11;Business Debit;debit;91,0;Porto - Boavista
262;967;2024-05-31;140,13;FinPrime Bank;2021-11-03;Green Debit Card;debit;;Aveiro - Forum
20;270;2025-08-16;50,07;Lusitania Bank;2021-09-19;Green Debit Card;debit;97,0;Guimaraes - Centro
337;342;2025-10-16;520,11;Banco Atlantico;2024-01-02;Classic Visa;credit;125,0;Coimbra - Baixa
268;194;2023-03-07;89,32;FinPrime Bank;2021-02-23;Business Debit;debit;;Leiria - Centro
41;849;2027-06-21;855,77;Banco Horizonte;2024-03-04;Gold Mastercard;credit;155,0;Coimbra - Baixa
85;764;2028-09-11;1086,12;Banco Atlantico;2025-07-16;Gold Mastercard;credit;;Faro - Centro
14;203;2024-10-31;793,31;Lusitania Bank;2024-06-15;Gold Mastercard;credit;153,0;Braga - Centro
14;203;2024-10-31;675,32;Lusitania Bank;2024-06-15;Gold Mastercard;credit;189,0;Leiria - Centro
59;752;2023-08-04;3287,32;Banco Horizonte;2022-11-01;Infinite Visa;premium credit;193,0;Braga - Centro
311;748;2024-12-01;146,11;Banco Horizonte;2021-03-26;Visa Electron;debit;;Guimaraes - Centro
472;610;2023-02-19;39,54;FinPrime Bank;2022-04-27;Green Debit Card;debit;;Guimaraes - Centro
340;610;2029-03-26;157,9;FinPrime Bank;2021-11-01;Green Debit Card;debit;;Viseu - Rossio
269;227;2021-09-02;78,56;Banco Horizonte;2021-03-07;Everyday Debit;debit;;Coimbra - Baixa
379;466;2023-12-29;180,0;Banco Atlantico;2021-02-25;Business Debit;debit;;Leiria - Centro
104;23;2024-12-26;66,83;Lusitania Bank;2021-02-17;Everyday Debit;debit;78,0;Viseu - Rossio
104;23;2024-12-26;56,26;Lusitania Bank;2021-02-17;Everyday Debit;debit;118,0;Viseu - Rossio
459;280;2022-05-01;4943,03;Credito Nacional;2021-04-05;Business Gold Mastercard;business credit;;Aveiro - Forum
99;757;2024-09-20;7000,0;Credito Nacional;2022-04-16;Corporate Mastercard;business credit;;Coimbra - Baixa
344;676;2024-02-10;137,72;Lusitania Bank;2021-04-08;Prepaid Travel Card;prepaid;5,0;Coimbra - Baixa
195;164;2024-02-12;140,67;Credito Nacional;2022-09-13;Student Debit;debit;;Lisboa - Saldanha
445;351;2024-12-02;122,41;Banco Atlantico;2022-11-03;Student Debit;debit;105,0;Coimbra - Baixa
93;847;2029-02-12;796,9;Credito Nacional;2024-10-06;Silver Mastercard;credit;;Aveiro - Forum
136;108;2025-07-24;180,0;FinPrime Bank;2023-09-12;Everyday Debit;debit;;Leiria - Centro
373;862;2026-12-23;879,78;Banco Atlantico;2024-03-14;Premium Black Mastercard;premium credit;111,0;Porto - Boavista
419;623;2022-09-18;161,33;Banco Horizonte;2022-03-12;Student Debit;debit;;Leiria - Centro
213;197;2023-02-21;1317,47;Credito Nacional;2021-09-14;Travel Rewards Visa;credit;;Braga - Centro
257;586;2026-08-08;6505,69;Banco Horizonte;2022-12-05;Business Gold Mastercard;business credit;;Aveiro - Forum
441;304;2029-04-22;158,0;Credito Nacional;2022-06-26;Green Debit Card;debit;;Faro - Centro
367;325;2025-07-03;911,16;Banco Atlantico;2023-08-03;Classic Visa;credit;139,0;Leiria - Centro
366;295;2032-10-26;79,41;Nova Caixa;2024-06-23;Everyday Debit;debit;;Coimbra - Baixa
15;269;2029-11-18;596,96;Credito Nacional;2022-07-06;Silver Mastercard;credit;;Setubal - Avenida Luisa Todi
122;694;2030-09-12;1086,69;Lusitania Bank;2024-10-17;Silver Mastercard;credit;83,0;Braga - Centro
490;26;2029-03-11;3563,86;FinPrime Bank;2025-04-03;Corporate Mastercard;business credit;;Braga - Centro
441;975;2025-09-02;83,25;Credito Nacional;2022-06-26;Everyday Debit;debit;;Lisboa - Saldanha
201;902;2024-04-27;614,12;Credito Nacional;2021-08-26;Golden Visa;credit;;Setubal - Avenida Luisa Todi
266;202;2034-11-21;75,44;Lusitania Bank;2025-03-14;Green Debit Card;debit;;Braga - Centro
8;673;2033-03-25;1194,58;Lusitania Bank;2026-02-05;Travel Rewards Visa;credit;32,0;Lisboa - Saldanha
8;673;2035-07-10;817,57;Lusitania Bank;2026-02-05;Travel Rewards Visa;credit;135,0;Coimbra - Baixa
274;496;2024-07-29;4191,93;FinPrime Bank;2021-07-09;Platinum Visa;premium credit;;Coimbra - Baixa
451;718;2022-01-31;1164,18;Banco Atlantico;2021-04-05;Infinite Visa;premium credit;;Leiria - Centro
476;632;2025-01-21;3123,09;Lusitania Bank;2022-01-05;Platinum Visa;premium credit;;Coimbra - Baixa
381;251;2025-08-10;187,26;Credito Nacional;2024-06-02;Prepaid Travel Card;prepaid;157,0;Guimaraes - Centro
219;156;2031-11-27;4191,89;Credito Nacional;2024-04-14;Platinum Visa;premium credit;;Leiria - Centro
323;139;2029-08-20;4248,21;Banco Horizonte;2022-03-16;Platinum Visa;premium credit;;Lisboa - Saldanha
265;629;2026-08-27;45,7;Banco Atlantico;2024-02-11;Visa Electron;debit;;Porto - Boavista
138;228;2024-09-01;63,08;Nova Caixa;2021-10-09;Business Debit;debit;169,0;Leiria - Centro
83;821;2024-04-16;64,44;Banco Horizonte;2022-04-04;Debit Plus;debit;;Guimaraes - Centro
188;625;2025-04-05;582,81;Lusitania Bank;2023-04-18;Prepaid Travel Card;prepaid;;Porto - Boavista
78;741;2034-02-18;601,84;Nova Caixa;2025-12-14;Travel Rewards Visa;credit;;Braga - Centro
491;814;2023-09-27;130,61;Banco Horizonte;2021-10-25;Green Debit Card;debit;;Guimaraes - Centro
214;413;2023-02-20;66,46;FinPrime Bank;2021-07-27;Debit Plus;debit;163,0;Braga - Centro
500;190;2024-05-12;3920,73;Lusitania Bank;2021-08-20;Platinum Visa;premium credit;99,0;Leiria - Centro
380;366;2033-02-24;6432,17;Lusitania Bank;2024-09-06;Corporate Mastercard;business credit;79,0;Leiria - Centro
380;366;2032-04-04;7000,0;Lusitania Bank;2024-09-06;Corporate Mastercard;business credit;199,0;Leiria - Centro
218;436;2028-07-11;84,9;Lusitania Bank;2023-03-28;Student Debit;debit;;Setubal - Avenida Luisa Todi
10;800;2025-05-22;811,13;FinPrime Bank;2021-12-12;Golden Visa;credit;23,0;Braga - Centro
184;282;2024-09-10;755,57;FinPrime Bank;2021-08-28;Travel Rewards Visa;credit;195,0;Coimbra - Baixa
106;592;2023-02-10;820,76;FinPrime Bank;2022-06-07;Silver Mastercard;credit;140,0;Setubal - Avenida Luisa Todi
242;307;2031-04-29;654,73;Lusitania Bank;2022-07-24;Golden Visa;credit;;Aveiro - Forum
28;703;2026-05-01;156,92;FinPrime Bank;2023-07-12;Everyday Debit;debit;126,0;Faro - Centro
455;23;2030-02-01;63,24;Banco Horizonte;2024-08-02;Everyday Debit;debit;;Guimaraes - Centro
271;552;2030-07-31;3325,69;Banco Atlantico;2024-08-11;Business Gold Mastercard;business credit;;Guimaraes - Centro
250;404;2031-07-30;341,34;FinPrime Bank;2025-12-31;Prepaid Travel Card;prepaid;58,0;Viseu - Rossio
483;284;2026-02-21;2926,4;Credito Nacional;2023-08-23;Premium Black Mastercard;premium credit;;Guimaraes - Centro
374;199;2022-10-11;1262,56;Lusitania Bank;2021-03-28;Premium Black Mastercard;premium credit;;Faro - Centro
468;979;2033-01-01;716,3;Nova Caixa;2025-08-04;Travel Rewards Visa;credit;;Lisboa - Saldanha
263;216;2023-11-08;2315,43;Banco Horizonte;2023-10-05;Premium Black Mastercard;premium credit;85,0;Coimbra - Baixa
490;675;2033-01-03;3420,16;FinPrime Bank;2025-04-03;Premium Black Mastercard;premium credit;;Lisboa - Saldanha
359;536;2026-02-02;3212,89;Banco Horizonte;2025-10-13;Corporate Mastercard;business credit;171,0;Porto - Boavista
276;609;2025-09-25;769,67;Nova Caixa;2021-10-25;Silver Mastercard;credit;;Coimbra - Baixa
303;57;2025-06-28;99,08;Credito Nacional;2023-09-25;Everyday Debit;debit;;Braga - Centro
36;795;2025-06-20;523,83;Nova Caixa;2024-10-25;Prepaid Travel Card;prepaid;64,0;Aveiro - Forum
209;829;2028-12-27;111,14;Banco Horizonte;2025-10-12;Prepaid Travel Card;prepaid;25,0;Coimbra - Baixa
39;355;2025-06-05;97,54;Credito Nacional;2025-04-30;Green Debit Card;debit;161,0;Porto - Boavista
290;975;2025-12-26;165,98;Lusitania Bank;2024-02-01;Everyday Debit;debit;;Faro - Centro
402;94;2029-10-24;2364,04;Nova Caixa;2023-01-24;Corporate Mastercard;business credit;12,0;Lisboa - Saldanha
120;24;2025-11-11;63,48;Nova Caixa;2022-03-25;Business Debit;debit;;Setubal - Avenida Luisa Todi
370;480;2031-08-03;4223,5;FinPrime Bank;2021-10-15;Infinite Visa;premium credit;;Setubal - Avenida Luisa Todi
379;422;2023-07-21;680,27;Banco Atlantico;2021-02-25;Silver Mastercard;credit;;Faro - Centro
172;757;2023-07-17;3046,96;FinPrime Bank;2022-03-29;Corporate Mastercard;business credit;108,0;Viseu - Rossio
138;239;2026-01-31;930,41;Nova Caixa;2021-10-09;Golden Visa;credit;169,0;Leiria - Centro
9;390;2027-01-02;182,19;Credito Nacional;2024-08-28;Gold Mastercard;credit;;Porto - Boavista
73;517;2027-03-10;37,26;Banco Atlantico;2023-07-15;Business Debit;debit;51,0;Porto - Boavista
73;517;2029-05-03;123,59;Banco Atlantico;2023-07-15;Business Debit;debit;167,0;Guimaraes - Centro
190;65;2025-12-26;716,66;FinPrime Bank;2025-08-23;Silver Mastercard;credit;;Aveiro - Forum
322;664;2025-09-16;747,61;FinPrime Bank;2023-02-27;Golden Visa;credit;;Porto - Boavista
147;216;2022-02-09;1648,53;Credito Nacional;2021-03-03;Premium Black Mastercard;premium credit;;Guimaraes - Centro
446;78;2022-07-21;705,94;Lusitania Bank;2021-08-22;Travel Rewards Visa;credit;;Viseu - Rossio
241;887;2025-06-27;4156,06;Banco Atlantico;2021-03-23;Platinum Visa;premium credit;;Braga - Centro
441;888;2025-11-14;2446,2;Credito Nacional;2022-06-26;Infinite Visa;premium credit;;Viseu - Rossio
323;661;2028-07-25;157,11;Banco Horizonte;2022-03-16;Green Debit Card;debit;;Coimbra - Baixa
471;381;2026-02-17;85,63;Credito Nacional;2023-01-27;Business Debit;debit;35,0;Coimbra - Baixa
471;381;2026-02-17;93,4;Credito Nacional;2023-01-27;Business Debit;debit;142,0;Lisboa - Saldanha
471;381;2026-02-17;108,85;Credito Nacional;2023-01-27;Business Debit;debit;168,0;Viseu - Rossio
186;761;2034-04-11;403,37;Nova Caixa;2025-03-04;Prepaid Travel Card;prepaid;96,0;Faro - Centro
268;714;2021-07-16;60,55;FinPrime Bank;2021-02-23;Visa Electron;debit;;Faro - Centro
460;215;2025-10-28;91,31;FinPrime Bank;2025-04-04;Student Debit;debit;;Viseu - Rossio
421;40;2024-09-13;65,99;Banco Atlantico;2023-02-24;Everyday Debit;debit;;Viseu - Rossio
143;666;2029-02-01;4500,0;Banco Horizonte;2021-11-29;Platinum Visa;premium credit;48,0;Viseu - Rossio
391;565;2026-08-16;967,0;Banco Atlantico;2025-08-22;Infinite Visa;premium credit;;Setubal - Avenida Luisa Todi
372;759;2024-04-24;124,0;Nova Caixa;2023-12-06;Student Debit;debit;;Guimaraes - Centro
154;316;2024-01-03;550,23;FinPrime Bank;2022-06-08;Travel Rewards Visa;credit;19,0;Leiria - Centro
164;481;2035-07-19;52,44;Lusitania Bank;2025-09-05;Debit Plus;debit;191,0;Porto - Boavista
109;392;2034-02-16;696,4;Banco Atlantico;2025-03-21;Golden Visa;credit;181,0;Porto - Boavista
83;148;2023-04-02;4365,37;Banco Horizonte;2022-04-04;Premium Black Mastercard;premium credit;;Coimbra - Baixa
14;959;2027-12-07;67,09;Lusitania Bank;2024-06-15;Business Debit;debit;153,0;Braga - Centro
14;959;2034-04-14;37,53;Lusitania Bank;2024-06-15;Business Debit;debit;189,0;Leiria - Centro
330;464;2029-04-10;57,69;Nova Caixa;2022-11-04;Debit Plus;debit;;Aveiro - Forum
182;125;2024-08-06;98,4;Lusitania Bank;2023-10-29;Everyday Debit;debit;;Porto - Boavista
260;795;2030-03-21;138,13;Lusitania Bank;2024-09-30;Prepaid Travel Card;prepaid;1,0;Porto - Boavista
16;910;2033-09-27;5127,3;FinPrime Bank;2024-02-26;Corporate Mastercard;business credit;;Lisboa - Saldanha
339;318;2034-01-08;1038,68;Credito Nacional;2024-07-28;Premium Black Mastercard;premium credit;69,0;Leiria - Centro
272;146;2025-11-16;636,47;Lusitania Bank;2024-08-05;Travel Rewards Visa;credit;;Porto - Boavista
113;724;2035-10-09;1219,9;Banco Horizonte;2026-02-15;Travel Rewards Visa;credit;;Guimaraes - Centro
432;265;2031-05-06;630,13;Nova Caixa;2024-12-10;Travel Rewards Visa;credit;2,0;Lisboa - Saldanha
432;265;2034-11-08;413,83;Nova Caixa;2024-12-10;Travel Rewards Visa;credit;45,0;Coimbra - Baixa
229;953;2023-05-01;774,04;Banco Atlantico;2021-11-21;Golden Visa;credit;;Guimaraes - Centro
432;662;2026-12-26;632,94;Nova Caixa;2024-12-10;Gold Mastercard;credit;2,0;Lisboa - Saldanha
432;662;2025-09-29;1484,64;Nova Caixa;2024-12-10;Gold Mastercard;credit;45,0;Coimbra - Baixa
124;122;2033-12-13;3454,03;FinPrime Bank;2026-01-26;Platinum Visa;premium credit;6,0;Faro - Centro
124;122;2027-01-08;2949,74;FinPrime Bank;2026-01-26;Platinum Visa;premium credit;10,0;Setubal - Avenida Luisa Todi
124;122;2030-11-28;2314,81;FinPrime Bank;2026-01-26;Platinum Visa;premium credit;76,0;Faro - Centro
124;122;2034-11-17;2052,67;FinPrime Bank;2026-01-26;Platinum Visa;premium credit;109,0;Leiria - Centro
100;51;2032-09-19;82,7;FinPrime Bank;2023-08-25;Visa Electron;debit;;Lisboa - Saldanha
148;210;2030-01-28;39,35;FinPrime Bank;2023-12-14;Everyday Debit;debit;;Leiria - Centro
186;345;2025-04-11;92,64;Nova Caixa;2025-03-04;Debit Plus;debit;96,0;Faro - Centro
113;950;2033-02-12;62,24;Banco Horizonte;2026-02-15;Green Debit Card;debit;;Lisboa - Saldanha
145;673;2023-12-02;776,06;Banco Atlantico;2022-01-31;Travel Rewards Visa;credit;;Faro - Centro
20;669;2024-02-24;94,94;Lusitania Bank;2021-09-19;Everyday Debit;debit;97,0;Guimaraes - Centro
28;554;2024-01-05;635,39;FinPrime Bank;2023-07-12;Travel Rewards Visa;credit;126,0;Faro - Centro
378;747;2024-04-24;1291,53;Nova Caixa;2021-06-08;Gold Mastercard;credit;183,0;Braga - Centro
106;541;2027-07-27;473,22;FinPrime Bank;2022-06-07;Silver Mastercard;credit;140,0;Setubal - Avenida Luisa Todi
316;493;2025-09-23;72,26;FinPrime Bank;2024-04-03;Visa Electron;debit;;Leiria - Centro
421;948;2025-09-13;263,06;Banco Atlantico;2023-02-24;Prepaid Travel Card;prepaid;;Aveiro - Forum
284;777;2022-11-06;4080,76;Lusitania Bank;2022-08-04;Premium Black Mastercard;premium credit;47,0;Guimaraes - Centro
284;777;2022-11-06;2325,84;Lusitania Bank;2022-08-04;Premium Black Mastercard;premium credit;159,0;Leiria - Centro
118;497;2029-02-15;2270,18;FinPrime Bank;2025-01-07;Infinite Visa;premium credit;;Braga - Centro
383;747;2024-11-18;1251,74;Banco Horizonte;2022-02-07;Gold Mastercard;credit;84,0;Aveiro - Forum
383;747;2024-11-18;623,91;Banco Horizonte;2022-02-07;Gold Mastercard;credit;164,0;Aveiro - Forum
60;696;2032-04-06;1254,65;Nova Caixa;2023-07-24;Gold Mastercard;credit;;Porto - Boavista
283;375;2027-12-11;988,25;Banco Atlantico;2025-03-12;Golden Visa;credit;122,0;Lisboa - Saldanha
315;57;2027-07-22;171,74;Credito Nacional;2023-12-15;Everyday Debit;debit;;Faro - Centro
120;862;2022-06-14;1894,63;Nova Caixa;2022-03-25;Premium Black Mastercard;premium credit;;Faro - Centro
87;230;2025-11-24;3085,58;Credito Nacional;2024-09-15;Corporate Mastercard;business credit;;Faro - Centro
365;852;2025-05-13;869,67;Banco Horizonte;2024-07-30;Classic Visa;credit;;Leiria - Centro
451;752;2025-02-21;2221,43;Banco Atlantico;2021-04-05;Infinite Visa;premium credit;;Coimbra - Baixa
162;441;2025-04-15;1189,0;Nova Caixa;2022-06-01;Gold Mastercard;credit;;Aveiro - Forum
150;981;2025-10-08;2055,1;Nova Caixa;2025-01-04;Premium Black Mastercard;premium credit;;Braga - Centro
3;564;2030-03-27;1347,68;Credito Nacional;2024-12-01;Platinum Visa;premium credit;;Guimaraes - Centro
243;733;2024-02-09;1594,48;Credito Nacional;2023-03-29;Classic Visa;credit;68,0;Viseu - Rossio
139;989;2024-12-23;4500,0;Banco Atlantico;2023-07-22;Platinum Visa;premium credit;173,0;Braga - Centro
408;962;2027-12-18;369,91;Nova Caixa;2024-05-20;Travel Rewards Visa;credit;136,0;Faro - Centro
391;566;2028-04-24;117,6;Banco Atlantico;2025-08-22;Debit Plus;debit;;Faro - Centro
95;769;2025-11-21;3327,17;Banco Horizonte;2024-10-30;Infinite Visa;premium credit;180,0;Setubal - Avenida Luisa Todi
232;750;2024-04-09;914,81;FinPrime Bank;2021-03-07;Classic Visa;credit;16,0;Faro - Centro
451;945;2022-08-19;1600,0;Banco Atlantico;2021-04-05;Travel Rewards Visa;credit;;Viseu - Rossio
216;608;2030-09-24;158,48;Nova Caixa;2025-11-27;Prepaid Travel Card;prepaid;75,0;Coimbra - Baixa
191;719;2031-04-06;69,78;Banco Horizonte;2024-12-27;Debit Plus;debit;;Leiria - Centro
492;759;2029-03-11;97,57;Nova Caixa;2026-01-21;Student Debit;debit;74,0;Aveiro - Forum
106;459;2023-05-16;146,52;FinPrime Bank;2022-06-07;Visa Electron;debit;140,0;Setubal - Avenida Luisa Todi
473;531;2025-12-10;4187,94;Banco Horizonte;2024-05-16;Infinite Visa;premium credit;;Setubal - Avenida Luisa Todi
381;548;2030-09-28;1253,09;Credito Nacional;2024-06-02;Infinite Visa;premium credit;157,0;Guimaraes - Centro
99;391;2022-09-27;38,06;Credito Nacional;2022-04-16;Visa Electron;debit;;Faro - Centro
416;915;2025-02-08;1196,09;Lusitania Bank;2023-04-08;Silver Mastercard;credit;18,0;Viseu - Rossio
366;675;2024-08-04;2427,43;Nova Caixa;2024-06-23;Premium Black Mastercard;premium credit;;Coimbra - Baixa
340;88;2023-07-04;2486,16;FinPrime Bank;2021-11-01;Platinum Visa;premium credit;;Porto - Boavista
423;404;2025-05-13;463,35;Credito Nacional;2022-12-28;Prepaid Travel Card;prepaid;;Porto - Boavista
304;612;2025-08-31;61,7;FinPrime Bank;2025-04-07;Visa Electron;debit;;Porto - Boavista
143;52;2022-04-24;718,47;Banco Horizonte;2021-11-29;Golden Visa;credit;48,0;Viseu - Rossio
485;940;2030-05-18;120,19;Banco Horizonte;2023-03-26;Debit Plus;debit;21,0;Porto - Boavista
25;711;2035-01-23;503,52;Banco Atlantico;2025-05-09;Silver Mastercard;credit;95,0;Coimbra - Baixa
268;599;2031-01-06;1746,08;FinPrime Bank;2021-02-23;Infinite Visa;premium credit;;Aveiro - Forum
377;677;2029-08-12;853,6;Banco Horizonte;2025-04-16;Silver Mastercard;credit;;Leiria - Centro
407;831;2024-12-03;120,18;Banco Horizonte;2021-07-11;Green Debit Card;debit;;Guimaraes - Centro
373;289;2025-12-15;44,88;Banco Atlantico;2024-03-14;Visa Electron;debit;111,0;Porto - Boavista
260;474;2027-02-15;129,12;Lusitania Bank;2024-09-30;Green Debit Card;debit;1,0;Porto - Boavista
167;651;2031-07-10;115,08;Banco Horizonte;2024-02-21;Debit Plus;debit;;Viseu - Rossio
30;945;2023-06-07;531,61;Nova Caixa;2022-12-27;Travel Rewards Visa;credit;33,0;Braga - Centro
50;553;2024-08-29;7000,0;Lusitania Bank;2023-07-22;Corporate Mastercard;business credit;;Faro - Centro
129;227;2030-05-18;57,51;Credito Nacional;2023-07-31;Everyday Debit;debit;116,0;Faro - Centro
171;373;2027-09-22;1169,45;Credito Nacional;2023-02-02;Gold Mastercard;credit;;Aveiro - Forum
263;459;2028-02-18;106,27;Banco Horizonte;2023-10-05;Visa Electron;debit;85,0;Coimbra - Baixa
300;637;2026-02-11;2907,12;Nova Caixa;2025-10-22;Business Gold Mastercard;business credit;;Lisboa - Saldanha
454;317;2024-04-22;96,77;FinPrime Bank;2023-06-10;Student Debit;debit;115,0;Coimbra - Baixa
273;833;2029-03-12;120,79;Credito Nacional;2022-05-05;Visa Electron;debit;;Lisboa - Saldanha
310;898;2025-11-06;1600,0;FinPrime Bank;2023-01-07;Silver Mastercard;credit;;Guimaraes - Centro
343;709;2026-07-07;1109,91;Banco Atlantico;2025-03-29;Premium Black Mastercard;premium credit;;Setubal - Avenida Luisa Todi
3;517;2027-09-16;23,85;Credito Nacional;2024-12-01;Business Debit;debit;;Braga - Centro
210;153;2030-03-26;55,82;Nova Caixa;2024-04-28;Visa Electron;debit;;Braga - Centro
359;615;2035-08-11;2255,76;Banco Horizonte;2025-10-13;Platinum Visa;premium credit;171,0;Porto - Boavista
189;82;2033-03-14;1129,78;Credito Nacional;2024-03-18;Silver Mastercard;credit;;Viseu - Rossio
75;154;2031-11-10;850,03;Credito Nacional;2025-03-11;Golden Visa;credit;;Braga - Centro
166;766;2023-07-10;750,65;FinPrime Bank;2023-01-25;Golden Visa;credit;44,0;Aveiro - Forum
250;126;2033-08-10;180,0;FinPrime Bank;2025-12-31;Business Debit;debit;58,0;Viseu - Rossio
234;827;2025-12-05;62,29;Nova Caixa;2023-05-05;Student Debit;debit;;Braga - Centro
290;144;2024-11-11;7000,0;Lusitania Bank;2024-02-01;Business Gold Mastercard;business credit;;Setubal - Avenida Luisa Todi
130;336;2025-06-09;422,77;FinPrime Bank;2021-06-21;Prepaid Travel Card;prepaid;;Porto - Boavista
460;347;2030-06-23;180,0;FinPrime Bank;2025-04-04;Business Debit;debit;;Leiria - Centro
373;781;2029-10-13;505,51;Banco Atlantico;2024-03-14;Gold Mastercard;credit;111,0;Porto - Boavista
